area_type,route_type,hour,day_of_week,weather,rainfall_mm,traffic_index,passenger_load_pct,scheduled_headway_min,stop_count,distance_km,road_condition,previous_delay_min,special_event,delay_minutes,delay_category
Urban,Local Bus,10,4,Cloudy,2.81,72.6,46.03,16.22,25,23.66,Good,4.46,0,22.37,Major Delay
Urban,Local Bus,12,0,Clear,8.57,61.18,48.15,10.06,29,11.35,Average,4.02,0,22.68,Major Delay
Urban,Local Bus,18,2,Clear,1.85,46.37,53.7,15.58,15,13.67,Poor,1.51,0,24.61,Major Delay
Rural,Local Bus,16,0,Clear,8.73,40.33,35.69,18.23,32,9.38,Average,0.82,0,9.94,Moderate Delay
Urban,Local Bus,5,2,Cloudy,17.45,46.91,68.77,16.02,27,17.52,Good,11.24,0,21.02,Major Delay
Rural,Local Bus,6,5,Rain,9.82,47.31,71.5,21.68,14,5.84,Average,4.27,0,16.56,Major Delay
Rural,Feeder Bus,8,5,Heavy Rain,1.01,100.0,69.23,8.81,13,10.17,Average,5.85,0,17.16,Major Delay
Urban,Local Bus,20,1,Cloudy,1.5,14.48,60.99,10.08,22,11.76,Good,4.09,0,16.03,Major Delay
Rural,Local Bus,5,4,Cloudy,8.78,26.7,78.12,8.66,27,12.95,Good,3.72,0,11.23,Moderate Delay
Urban,Local Bus,6,1,Rain,1.46,23.32,69.5,9.02,19,15.18,Poor,14.27,1,24.47,Major Delay
Rural,Local Bus,19,1,Clear,3.64,54.19,45.95,14.25,9,9.49,Average,6.37,0,10.22,Moderate Delay
Rural,Express Bus,16,6,Rain,5.34,53.28,10.0,7.62,28,14.97,Good,16.65,0,19.41,Major Delay
Rural,Local Bus,22,4,Rain,6.74,34.82,51.38,15.74,18,3.43,Average,7.39,0,12.37,Moderate Delay
Urban,Local Bus,8,1,Cloudy,4.2,68.61,58.78,17.8,5,11.76,Average,0.24,0,12.61,Moderate Delay
Rural,Express Bus,16,0,Clear,0.68,56.5,58.95,6.66,10,2.0,Good,9.72,0,13.62,Moderate Delay
Rural,Local Bus,7,0,Clear,2.13,69.58,54.42,10.22,22,9.37,Good,3.12,1,17.98,Major Delay
Urban,Feeder Bus,15,3,Clear,9.8,75.68,47.26,10.94,20,23.0,Good,11.12,0,21.98,Major Delay
Rural,Feeder Bus,6,0,Heavy Rain,3.36,0.0,41.06,12.68,9,11.83,Poor,0.12,0,20.25,Major Delay
Rural,Local Bus,21,4,Cloudy,14.44,63.77,37.34,13.01,26,8.12,Good,0.0,0,16.16,Major Delay
Urban,Local Bus,12,3,Cloudy,4.43,18.33,66.7,19.43,24,13.07,Average,4.01,0,10.58,Moderate Delay
Rural,Local Bus,9,4,Clear,1.18,53.74,79.77,19.88,20,10.26,Average,10.84,0,18.61,Major Delay
Urban,Local Bus,22,1,Rain,5.95,46.32,32.98,9.15,7,4.88,Poor,0.35,0,22.91,Major Delay
Urban,Local Bus,6,1,Clear,10.25,47.31,56.77,18.15,9,2.0,Poor,6.4,0,11.82,Moderate Delay
Urban,Express Bus,19,0,Clear,3.88,20.29,73.77,22.25,10,10.44,Poor,0.13,0,13.31,Moderate Delay
Urban,Local Bus,14,0,Cloudy,3.95,71.7,54.22,21.26,32,9.53,Poor,8.22,0,19.53,Major Delay
Rural,Local Bus,17,0,Clear,4.96,18.32,72.32,15.23,11,9.23,Good,1.67,0,12.41,Moderate Delay
Urban,Local Bus,9,1,Clear,5.52,65.26,79.57,13.67,5,14.72,Good,4.84,0,18.21,Major Delay
Urban,Feeder Bus,20,5,Clear,1.56,15.07,65.89,5.58,13,17.46,Good,1.83,0,12.77,Moderate Delay
Urban,Feeder Bus,13,4,Clear,0.21,47.59,48.09,11.52,26,14.22,Average,0.0,0,19.96,Major Delay
Urban,Local Bus,12,1,Heavy Rain,6.25,89.5,84.3,5.04,11,8.92,Good,0.0,0,13.43,Moderate Delay
Rural,Express Bus,13,6,Rain,3.39,100.0,52.65,20.84,26,11.27,Good,0.0,0,4.41,On Time / Minor
Rural,Local Bus,10,5,Heavy Rain,5.04,10.77,52.65,12.42,5,16.16,Good,2.11,0,16.57,Major Delay
Urban,Express Bus,10,5,Heavy Rain,2.77,31.8,68.3,13.48,31,15.06,Average,5.74,0,26.68,Major Delay
Urban,Express Bus,7,6,Clear,5.12,35.98,51.97,10.3,21,13.55,Good,12.77,0,13.37,Moderate Delay
Urban,Feeder Bus,13,5,Clear,1.04,99.87,53.52,5.54,30,8.24,Good,0.9,0,13.01,Moderate Delay
Urban,Local Bus,13,6,Cloudy,2.22,46.43,50.53,18.28,26,16.19,Average,0.32,0,7.7,Moderate Delay
Urban,Local Bus,11,2,Clear,0.98,72.72,54.39,17.01,9,17.73,Average,0.0,0,12.5,Moderate Delay
Urban,Feeder Bus,22,5,Heavy Rain,2.28,54.89,61.94,19.6,24,15.1,Poor,7.78,0,22.67,Major Delay
Urban,Local Bus,7,0,Clear,0.52,20.42,18.55,3.49,33,25.72,Average,6.36,0,16.03,Major Delay
Urban,Local Bus,21,2,Cloudy,6.83,5.22,56.04,21.91,19,14.74,Average,5.74,0,12.66,Moderate Delay
Urban,Express Bus,20,6,Cloudy,11.81,33.9,22.7,13.25,9,16.74,Good,5.22,0,13.01,Moderate Delay
Urban,Express Bus,5,0,Rain,0.57,100.0,49.87,18.66,21,14.2,Good,1.63,0,13.23,Moderate Delay
Rural,Express Bus,17,3,Cloudy,3.43,53.93,64.76,3.0,21,10.35,Average,10.29,0,12.86,Moderate Delay
Rural,Express Bus,8,2,Cloudy,2.77,72.25,51.45,16.46,28,5.12,Good,0.0,0,11.8,Moderate Delay
Urban,Express Bus,5,0,Clear,12.22,15.38,72.06,13.56,9,7.15,Average,1.13,0,9.45,Moderate Delay
Rural,Local Bus,20,1,Cloudy,3.68,40.52,64.95,12.68,24,7.21,Poor,0.0,0,13.17,Moderate Delay
Rural,Express Bus,7,3,Rain,9.4,65.91,14.88,13.41,16,4.96,Good,2.86,0,13.58,Moderate Delay
Urban,Express Bus,10,4,Cloudy,6.43,22.9,81.96,10.42,12,9.57,Average,0.0,0,8.29,Moderate Delay
Urban,Feeder Bus,6,4,Rain,4.52,46.53,62.99,5.53,28,11.02,Good,0.35,0,17.89,Major Delay
Urban,Local Bus,7,0,Clear,1.78,27.77,46.62,6.41,21,16.96,Good,0.0,0,11.48,Moderate Delay
Rural,Local Bus,6,2,Clear,4.55,67.01,48.6,14.16,33,4.97,Good,0.0,0,8.32,Moderate Delay
Urban,Express Bus,20,0,Heavy Rain,0.95,57.17,16.31,21.87,12,15.46,Average,0.0,0,26.99,Major Delay
Urban,Local Bus,6,0,Clear,2.2,63.72,62.36,20.64,14,12.34,Poor,5.29,0,17.48,Major Delay
Urban,Local Bus,18,2,Cloudy,0.16,68.03,71.02,15.38,32,12.88,Good,0.0,0,20.57,Major Delay
Urban,Feeder Bus,7,4,Cloudy,10.78,42.76,44.4,11.07,18,10.52,Average,11.56,0,16.58,Major Delay
Rural,Local Bus,21,2,Heavy Rain,4.01,71.07,39.9,26.38,16,21.46,Good,8.23,1,26.85,Major Delay
Urban,Local Bus,20,0,Clear,10.52,34.43,60.81,18.09,29,7.07,Good,3.85,0,17.47,Major Delay
Rural,Local Bus,16,1,Clear,3.83,62.39,81.89,17.57,8,8.21,Average,6.35,0,13.04,Moderate Delay
Rural,Local Bus,19,3,Rain,4.14,2.67,79.82,6.01,22,11.59,Average,7.79,0,22.12,Major Delay
Rural,Express Bus,10,2,Cloudy,6.08,30.83,74.58,15.53,15,12.98,Average,1.03,0,16.37,Major Delay
Urban,Local Bus,19,5,Cloudy,3.15,100.0,98.4,6.57,31,12.12,Poor,2.48,0,23.17,Major Delay
Rural,Local Bus,8,4,Clear,2.74,62.05,76.49,26.49,8,10.75,Good,8.89,0,14.16,Moderate Delay
Urban,Local Bus,16,6,Clear,2.34,62.06,81.13,8.95,14,13.63,Average,9.21,0,24.37,Major Delay
Urban,Local Bus,21,1,Heavy Rain,1.05,29.05,59.74,10.36,10,14.01,Good,0.0,0,18.24,Major Delay
Rural,Local Bus,18,2,Cloudy,2.36,22.83,51.07,10.1,10,10.81,Average,14.98,0,19.7,Major Delay
Rural,Local Bus,9,0,Heavy Rain,8.63,41.92,80.69,11.78,12,20.18,Good,0.0,0,23.8,Major Delay
Urban,Local Bus,18,0,Heavy Rain,2.12,46.46,38.38,18.02,21,13.21,Good,0.0,0,23.63,Major Delay
Urban,Local Bus,20,6,Cloudy,16.9,92.03,66.48,14.02,19,9.62,Average,12.11,0,24.85,Major Delay
Rural,Local Bus,21,3,Cloudy,0.2,71.44,45.84,14.25,19,17.22,Good,7.14,0,4.24,On Time / Minor
Rural,Local Bus,18,4,Cloudy,8.96,50.51,64.79,18.31,31,2.0,Average,4.43,0,14.77,Moderate Delay
Urban,Local Bus,18,1,Rain,2.62,49.51,63.36,4.9,31,5.37,Poor,7.55,0,22.87,Major Delay
Rural,Local Bus,19,0,Cloudy,5.43,65.44,61.26,18.49,11,9.98,Average,0.1,0,15.64,Major Delay
Urban,Local Bus,18,6,Clear,1.16,17.67,57.65,14.81,7,5.11,Average,0.0,0,8.89,Moderate Delay
Urban,Local Bus,7,4,Heavy Rain,0.31,3.81,68.65,9.78,25,15.02,Poor,1.25,0,24.09,Major Delay
Urban,Local Bus,19,4,Cloudy,7.48,65.1,71.86,14.79,6,14.85,Average,0.01,0,11.88,Moderate Delay
Rural,Express Bus,8,3,Rain,10.51,49.66,30.02,14.68,23,19.16,Good,0.0,0,6.35,Moderate Delay
Urban,Local Bus,15,2,Clear,3.51,17.82,57.09,3.0,10,8.11,Average,0.49,0,21.04,Major Delay
Urban,Express Bus,11,2,Clear,2.12,0.0,49.64,22.25,10,13.84,Average,0.56,0,5.74,Moderate Delay
Urban,Express Bus,8,5,Cloudy,3.23,68.56,61.88,21.25,25,17.4,Average,1.14,0,19.68,Major Delay
Rural,Local Bus,10,1,Rain,3.22,36.0,49.68,6.16,28,11.81,Average,5.41,0,22.04,Major Delay
Urban,Local Bus,6,2,Clear,2.57,57.21,83.5,9.47,14,15.93,Good,6.29,0,13.51,Moderate Delay
Urban,Local Bus,12,2,Clear,3.91,41.93,56.63,22.12,15,10.5,Average,5.0,0,18.6,Major Delay
Rural,Local Bus,12,3,Rain,5.71,47.21,77.73,17.99,7,17.57,Good,0.0,0,10.84,Moderate Delay
Urban,Local Bus,12,6,Heavy Rain,5.26,34.38,38.96,16.33,31,7.19,Poor,0.0,0,22.02,Major Delay
Urban,Local Bus,6,6,Clear,1.66,46.24,52.39,16.62,31,3.24,Average,0.0,0,15.53,Major Delay
Urban,Feeder Bus,15,3,Clear,2.63,61.27,45.71,16.24,9,9.11,Poor,9.48,0,15.81,Major Delay
Rural,Local Bus,8,1,Clear,0.87,41.66,65.87,7.61,27,10.56,Good,0.0,0,13.22,Moderate Delay
Urban,Express Bus,20,6,Clear,5.11,40.35,34.3,10.61,32,13.19,Good,0.0,0,4.72,On Time / Minor
Urban,Express Bus,5,2,Clear,1.29,61.97,23.82,19.98,31,13.26,Good,6.94,1,16.11,Major Delay
Urban,Local Bus,5,2,Cloudy,1.88,63.51,45.49,17.94,17,7.45,Good,3.96,0,15.8,Major Delay
Rural,Feeder Bus,10,6,Cloudy,5.35,21.84,69.22,15.7,8,6.01,Good,16.07,1,14.39,Moderate Delay
Rural,Feeder Bus,12,1,Clear,5.64,47.34,41.81,10.11,20,19.13,Average,0.0,0,15.02,Major Delay
Urban,Local Bus,22,3,Clear,8.81,35.95,63.31,19.94,14,10.31,Good,2.41,0,12.39,Moderate Delay
Urban,Local Bus,14,6,Heavy Rain,19.23,48.32,45.05,8.2,15,8.62,Poor,0.0,0,26.82,Major Delay
Rural,Local Bus,11,2,Clear,3.36,80.98,22.94,22.89,23,12.59,Good,0.0,0,13.54,Moderate Delay
Urban,Local Bus,20,4,Rain,2.75,56.26,75.04,9.65,22,6.15,Good,0.0,0,16.93,Major Delay
Urban,Local Bus,9,0,Clear,3.83,97.78,70.99,8.77,7,7.43,Average,0.0,0,24.21,Major Delay
Urban,Local Bus,21,6,Rain,2.21,53.05,57.2,14.18,23,14.96,Good,4.43,0,13.59,Moderate Delay
Urban,Local Bus,12,2,Rain,0.74,44.17,58.86,15.28,34,5.93,Average,3.81,0,7.39,Moderate Delay
Urban,Express Bus,10,4,Clear,0.65,47.55,53.85,14.58,10,4.35,Average,3.34,0,2.44,On Time / Minor
Urban,Local Bus,10,3,Cloudy,2.99,51.28,37.35,6.06,34,9.22,Average,9.84,0,20.45,Major Delay
Urban,Local Bus,5,3,Cloudy,11.33,55.43,84.12,16.53,8,12.3,Average,6.29,0,8.15,Moderate Delay
Urban,Local Bus,17,2,Clear,2.04,25.18,55.99,19.88,20,17.87,Average,7.68,0,13.77,Moderate Delay
Rural,Express Bus,15,0,Rain,6.58,42.64,65.23,13.51,7,12.7,Poor,4.31,1,21.99,Major Delay
Urban,Express Bus,16,1,Clear,9.64,31.34,48.02,4.72,34,13.58,Good,5.05,1,5.62,Moderate Delay
Urban,Local Bus,16,2,Clear,6.49,71.68,66.86,12.73,28,5.89,Average,8.14,0,16.55,Major Delay
Rural,Express Bus,5,2,Heavy Rain,7.17,3.71,80.9,7.2,33,11.93,Average,0.0,0,17.76,Major Delay
Urban,Local Bus,20,1,Clear,0.74,51.61,61.33,3.0,6,5.4,Good,0.23,0,7.43,Moderate Delay
Rural,Express Bus,14,4,Clear,2.54,13.08,65.21,10.71,23,15.58,Average,3.87,0,11.3,Moderate Delay
Urban,Express Bus,17,5,Clear,0.38,57.94,75.56,23.74,29,11.57,Average,3.71,0,14.37,Moderate Delay
Rural,Local Bus,5,6,Heavy Rain,1.63,38.83,72.15,13.5,7,10.74,Good,0.0,0,18.98,Major Delay
Urban,Express Bus,18,6,Clear,0.63,6.21,78.88,12.36,32,13.53,Good,7.31,0,13.13,Moderate Delay
Urban,Feeder Bus,17,4,Clear,5.4,69.67,64.42,18.26,8,8.55,Average,10.7,0,14.66,Moderate Delay
Urban,Express Bus,11,2,Cloudy,0.63,0.0,64.41,17.67,8,8.57,Good,10.32,0,9.89,Moderate Delay
Urban,Local Bus,21,4,Rain,0.65,47.28,62.79,5.21,13,6.25,Good,0.03,0,18.93,Major Delay
Urban,Express Bus,16,0,Cloudy,3.14,63.9,75.3,25.21,32,19.91,Average,7.75,0,20.75,Major Delay
Rural,Local Bus,21,5,Heavy Rain,0.17,79.66,49.37,15.19,29,9.86,Average,1.48,0,23.51,Major Delay
Rural,Express Bus,19,3,Clear,17.84,10.97,68.61,19.44,17,9.42,Average,3.85,0,14.37,Moderate Delay
Urban,Feeder Bus,8,1,Cloudy,2.48,36.13,100.0,10.43,21,14.47,Good,9.01,0,14.88,Moderate Delay
Rural,Local Bus,22,2,Cloudy,9.44,72.92,65.18,3.0,6,11.06,Good,10.2,0,13.86,Moderate Delay
Rural,Local Bus,18,2,Clear,0.71,74.48,34.06,13.3,29,2.0,Average,1.29,0,16.41,Major Delay
Rural,Local Bus,8,2,Rain,4.61,77.46,52.2,7.39,6,21.11,Good,0.9,0,17.79,Major Delay
Rural,Local Bus,19,0,Cloudy,5.59,100.0,70.42,21.03,26,8.6,Poor,10.99,0,24.86,Major Delay
Urban,Local Bus,12,0,Clear,0.96,36.3,44.59,5.5,16,6.8,Average,3.0,0,17.71,Major Delay
Urban,Local Bus,20,2,Clear,6.91,56.56,38.44,14.16,29,10.19,Good,0.0,0,13.91,Moderate Delay
Urban,Express Bus,8,2,Clear,1.57,40.05,30.41,17.6,5,8.42,Average,5.7,0,5.25,Moderate Delay
Rural,Local Bus,9,6,Rain,2.02,2.57,53.83,16.55,12,8.52,Poor,0.0,0,13.22,Moderate Delay
Urban,Local Bus,11,1,Clear,0.95,45.93,90.23,10.99,24,11.58,Poor,2.08,0,19.03,Major Delay
Urban,Express Bus,13,2,Rain,7.23,2.13,47.38,3.32,26,2.0,Average,6.47,0,12.3,Moderate Delay
Urban,Local Bus,16,6,Clear,4.52,36.02,75.52,4.96,5,14.67,Good,0.0,0,7.35,Moderate Delay
Rural,Local Bus,8,6,Heavy Rain,4.23,14.23,52.42,9.46,7,15.77,Average,7.32,0,20.39,Major Delay
Urban,Express Bus,17,0,Rain,4.11,58.09,50.25,5.54,15,2.55,Average,0.0,1,15.19,Major Delay
Urban,Feeder Bus,5,0,Clear,4.39,30.09,68.34,13.55,25,13.28,Average,0.0,0,14.97,Moderate Delay
Rural,Express Bus,10,0,Clear,1.48,6.94,27.33,9.42,23,6.72,Good,5.09,0,13.64,Moderate Delay
Rural,Local Bus,16,3,Rain,6.43,67.91,91.39,6.24,19,8.81,Poor,0.0,0,24.84,Major Delay
Urban,Local Bus,9,4,Clear,1.2,34.11,68.75,5.46,22,12.76,Average,0.0,0,12.64,Moderate Delay
Rural,Feeder Bus,12,2,Clear,4.18,38.06,79.03,4.45,15,15.33,Good,5.17,1,12.42,Moderate Delay
Rural,Express Bus,15,0,Rain,2.86,25.51,52.84,13.66,22,12.66,Good,6.15,1,9.04,Moderate Delay
Urban,Express Bus,9,1,Rain,1.89,74.43,67.93,9.6,25,4.05,Good,2.61,0,20.55,Major Delay
Rural,Express Bus,22,4,Rain,2.95,54.22,76.66,14.15,11,11.32,Average,6.6,0,15.14,Major Delay
Urban,Local Bus,20,2,Rain,4.23,33.9,56.19,13.54,5,13.45,Good,23.64,0,25.65,Major Delay
Urban,Local Bus,22,0,Cloudy,6.4,3.98,40.54,12.78,13,7.14,Average,0.0,0,12.59,Moderate Delay
Urban,Express Bus,13,4,Rain,3.56,100.0,39.14,17.88,28,6.77,Good,0.0,0,12.67,Moderate Delay
Urban,Feeder Bus,11,4,Clear,7.99,93.53,49.54,5.16,30,10.64,Good,9.12,0,10.21,Moderate Delay
Urban,Local Bus,22,3,Rain,1.59,81.19,62.54,17.92,21,13.87,Good,0.0,0,17.76,Major Delay
Urban,Express Bus,18,6,Cloudy,2.47,31.83,54.74,16.36,30,8.17,Good,5.35,0,20.05,Major Delay
Urban,Local Bus,19,5,Cloudy,5.51,36.48,48.21,12.81,17,12.2,Good,6.54,0,17.75,Major Delay
Urban,Feeder Bus,8,0,Heavy Rain,0.71,57.22,71.56,9.15,26,4.7,Good,3.33,0,21.35,Major Delay
Urban,Local Bus,20,6,Clear,7.13,27.44,48.78,14.24,20,12.35,Average,4.89,1,20.78,Major Delay
Urban,Express Bus,14,0,Cloudy,0.8,25.24,46.05,16.69,5,2.0,Average,12.05,0,12.62,Moderate Delay
Rural,Local Bus,18,3,Cloudy,14.44,81.55,76.79,5.6,13,12.55,Average,0.44,0,22.23,Major Delay
Rural,Express Bus,19,6,Clear,1.61,46.73,69.01,17.66,25,15.41,Good,9.88,0,10.46,Moderate Delay
Urban,Express Bus,6,6,Clear,13.42,22.24,33.5,24.43,23,10.17,Good,0.0,0,8.92,Moderate Delay
Rural,Local Bus,6,0,Heavy Rain,6.64,69.91,31.38,13.61,27,13.79,Good,5.25,0,14.86,Moderate Delay
Urban,Feeder Bus,6,0,Clear,0.51,34.8,35.85,21.82,11,12.23,Average,5.93,0,4.23,On Time / Minor
Rural,Feeder Bus,16,1,Cloudy,1.13,2.47,57.39,16.85,10,4.11,Average,3.12,0,11.22,Moderate Delay
Urban,Feeder Bus,21,1,Cloudy,0.62,21.9,81.57,15.58,32,5.09,Average,8.35,0,19.57,Major Delay
Rural,Local Bus,5,1,Rain,2.42,36.12,86.95,9.8,16,9.19,Average,3.72,0,16.75,Major Delay
Rural,Express Bus,7,2,Rain,7.92,53.06,73.01,11.95,28,10.26,Good,5.16,0,16.14,Major Delay
Rural,Express Bus,13,2,Clear,12.03,51.95,96.26,8.12,6,7.09,Good,0.0,0,10.74,Moderate Delay
Urban,Express Bus,12,4,Clear,0.93,76.24,62.03,19.66,31,4.9,Poor,0.0,0,19.13,Major Delay
Urban,Local Bus,6,5,Rain,0.76,42.55,80.18,9.53,30,2.0,Good,0.0,0,19.29,Major Delay
Urban,Express Bus,15,3,Clear,4.86,37.29,46.58,24.57,26,19.37,Good,0.43,0,10.46,Moderate Delay
Urban,Local Bus,21,2,Cloudy,0.53,76.64,26.88,16.63,13,19.52,Good,0.0,0,14.46,Moderate Delay
Rural,Local Bus,8,3,Clear,7.81,70.51,51.83,16.36,7,6.78,Poor,12.84,0,21.69,Major Delay
Rural,Local Bus,5,4,Clear,6.11,43.09,55.5,6.06,11,3.8,Poor,1.96,0,10.49,Moderate Delay
Urban,Local Bus,9,6,Heavy Rain,3.62,54.72,100.0,17.99,20,18.27,Good,3.45,1,28.48,Major Delay
Urban,Local Bus,8,6,Heavy Rain,7.53,37.07,57.99,12.68,33,2.0,Good,0.0,0,16.68,Major Delay
Urban,Local Bus,13,1,Rain,7.32,21.27,37.64,10.62,26,16.14,Average,13.72,0,22.6,Major Delay
Urban,Express Bus,6,6,Clear,1.11,98.54,77.29,10.06,19,14.18,Good,2.23,0,16.36,Major Delay
Urban,Local Bus,11,5,Heavy Rain,0.73,35.54,42.81,6.55,23,9.25,Good,0.55,0,18.55,Major Delay
Urban,Local Bus,7,0,Cloudy,3.18,54.78,60.87,14.06,27,17.97,Average,1.01,0,17.05,Major Delay
Rural,Express Bus,17,3,Heavy Rain,7.69,13.15,75.55,13.0,25,7.7,Good,2.45,0,21.61,Major Delay
Urban,Feeder Bus,13,1,Clear,1.03,64.94,39.37,6.12,8,15.2,Good,1.98,0,11.79,Moderate Delay
Urban,Feeder Bus,6,3,Clear,0.8,20.27,88.35,17.09,21,9.75,Average,0.0,0,13.19,Moderate Delay
Urban,Feeder Bus,5,0,Cloudy,0.86,86.59,80.54,26.77,31,4.92,Average,7.8,0,18.34,Major Delay
Rural,Feeder Bus,13,2,Rain,2.08,89.34,65.07,5.46,23,21.21,Average,0.0,0,19.66,Major Delay
Rural,Express Bus,15,4,Clear,1.25,61.01,93.03,13.32,16,7.46,Good,7.55,1,18.15,Major Delay
Urban,Feeder Bus,8,2,Clear,5.24,50.64,50.36,23.95,21,8.85,Good,0.0,0,6.37,Moderate Delay
Urban,Feeder Bus,10,0,Cloudy,7.65,43.69,73.88,9.34,26,15.07,Poor,4.37,0,19.82,Major Delay
Urban,Local Bus,15,2,Heavy Rain,17.93,46.91,63.58,16.64,7,17.2,Good,0.0,0,11.95,Moderate Delay
Urban,Feeder Bus,13,3,Rain,3.05,57.41,45.24,16.36,10,4.41,Good,0.0,0,13.56,Moderate Delay
Urban,Express Bus,7,5,Heavy Rain,1.73,50.06,45.84,17.95,22,18.2,Good,5.91,0,17.35,Major Delay
Urban,Express Bus,12,0,Cloudy,14.97,70.58,98.62,25.0,7,10.97,Good,9.4,0,14.08,Moderate Delay
Rural,Feeder Bus,8,3,Rain,2.88,26.88,79.19,3.26,18,10.56,Average,12.61,1,19.25,Major Delay
Urban,Local Bus,21,1,Cloudy,10.53,83.15,75.79,15.15,27,10.16,Good,5.37,0,14.15,Moderate Delay
Urban,Local Bus,19,1,Clear,4.16,38.28,45.49,10.99,20,10.92,Average,3.47,0,13.76,Moderate Delay
Urban,Express Bus,10,0,Rain,0.61,30.84,72.16,13.76,29,3.2,Good,0.0,1,17.09,Major Delay
Rural,Express Bus,9,5,Cloudy,5.26,56.34,50.64,14.27,7,13.03,Average,0.0,0,13.69,Moderate Delay
Rural,Feeder Bus,7,6,Clear,6.55,57.81,91.96,12.24,18,12.02,Average,6.6,0,14.3,Moderate Delay
Rural,Feeder Bus,18,4,Clear,0.27,8.06,82.26,7.48,32,9.16,Good,2.23,1,15.84,Major Delay
Urban,Express Bus,21,2,Rain,7.14,36.93,76.39,7.88,23,12.03,Average,3.55,0,17.48,Major Delay
Urban,Feeder Bus,9,6,Rain,11.45,0.0,74.36,26.75,30,9.97,Poor,1.51,0,17.59,Major Delay
Rural,Local Bus,16,3,Clear,8.12,32.46,56.24,5.71,17,10.63,Good,0.0,0,11.97,Moderate Delay
Rural,Feeder Bus,9,3,Heavy Rain,5.4,33.45,67.74,21.36,6,13.09,Average,6.88,0,15.49,Major Delay
Urban,Local Bus,21,4,Clear,4.02,54.84,88.83,7.79,14,9.87,Average,12.02,0,14.39,Moderate Delay
Urban,Express Bus,10,4,Clear,2.08,29.88,67.33,14.57,31,7.11,Average,0.0,0,16.79,Major Delay
Urban,Local Bus,6,3,Clear,0.77,35.33,41.19,25.81,11,14.79,Good,0.0,0,1.4,On Time / Minor
Rural,Express Bus,20,3,Clear,0.24,77.99,83.1,18.77,30,5.62,Good,2.33,0,12.21,Moderate Delay
Rural,Local Bus,22,2,Clear,6.64,95.48,44.41,5.37,24,16.26,Good,0.0,0,14.28,Moderate Delay
Urban,Local Bus,12,4,Rain,2.43,26.82,57.41,11.98,28,9.28,Good,9.42,0,17.67,Major Delay
Urban,Express Bus,21,4,Rain,14.33,71.44,48.53,13.84,33,15.38,Good,6.03,0,17.7,Major Delay
Urban,Express Bus,9,3,Cloudy,4.03,56.92,10.0,20.18,32,18.19,Poor,12.98,0,17.56,Major Delay
Urban,Local Bus,9,4,Rain,2.14,8.01,61.51,14.28,20,10.7,Good,8.89,0,15.67,Major Delay
Urban,Express Bus,14,0,Heavy Rain,2.92,29.8,100.0,13.05,24,15.36,Good,4.02,1,18.76,Major Delay
Rural,Local Bus,15,2,Clear,3.15,0.0,64.4,24.32,8,14.15,Good,4.24,0,13.89,Moderate Delay
Urban,Local Bus,11,6,Clear,12.22,55.44,100.0,23.48,8,11.91,Good,5.46,0,16.9,Major Delay
Urban,Local Bus,19,5,Clear,8.28,23.23,54.94,18.19,32,14.01,Average,0.0,0,16.53,Major Delay
Urban,Express Bus,19,5,Cloudy,1.28,51.08,62.43,10.24,9,9.6,Average,5.68,0,13.53,Moderate Delay
Urban,Express Bus,7,6,Clear,0.8,100.0,55.92,3.0,6,19.21,Good,10.35,0,13.5,Moderate Delay
Urban,Express Bus,22,4,Cloudy,14.33,84.64,59.21,6.33,7,11.42,Good,0.34,0,11.4,Moderate Delay
Urban,Feeder Bus,7,4,Cloudy,2.48,30.36,65.4,4.74,5,7.35,Good,2.29,0,8.67,Moderate Delay
Urban,Express Bus,14,3,Cloudy,3.74,24.8,88.21,13.63,17,8.83,Poor,6.78,0,20.17,Major Delay
Rural,Express Bus,12,5,Clear,12.72,77.74,41.22,19.63,7,15.44,Good,10.99,0,7.65,Moderate Delay
Urban,Feeder Bus,13,4,Clear,4.98,24.89,58.17,25.85,9,6.4,Good,0.0,0,3.49,On Time / Minor
Urban,Local Bus,7,3,Clear,2.75,70.8,70.31,21.64,31,20.46,Good,4.72,0,28.19,Major Delay
Urban,Local Bus,11,0,Rain,1.51,100.0,83.6,9.74,6,17.53,Good,3.34,0,18.0,Major Delay
Rural,Local Bus,5,5,Cloudy,5.11,63.53,14.84,15.52,8,4.84,Good,2.13,0,6.0,Moderate Delay
Urban,Express Bus,22,2,Cloudy,3.9,75.23,30.03,16.41,20,14.87,Poor,0.0,0,16.84,Major Delay
Rural,Local Bus,7,2,Cloudy,3.11,72.56,58.81,4.64,11,6.16,Good,0.0,0,9.02,Moderate Delay
Rural,Local Bus,13,0,Cloudy,1.01,35.19,80.39,8.76,14,6.83,Good,0.0,0,8.75,Moderate Delay
Urban,Feeder Bus,8,1,Clear,3.14,54.67,48.39,11.42,18,8.66,Good,2.83,1,18.35,Major Delay
Urban,Feeder Bus,8,0,Clear,5.16,26.0,71.38,26.78,10,7.29,Good,1.23,0,18.22,Major Delay
Rural,Local Bus,12,0,Clear,10.46,77.67,97.56,16.32,26,14.63,Poor,0.0,0,22.84,Major Delay
Urban,Local Bus,22,0,Clear,3.82,23.04,58.21,6.11,26,12.27,Average,2.17,1,19.1,Major Delay
Urban,Local Bus,13,2,Clear,4.42,64.12,53.44,11.45,5,13.11,Poor,12.83,0,23.1,Major Delay
